frame_id,capture_time_s,pat_state,detection_present,truth_optical_axis_east,truth_optical_axis_north,truth_optical_axis_up,truth_target_los_east,truth_target_los_north,truth_target_los_up,truth_angular_pointing_error_rad,truth_target_range_m,truth_target_within_travel,truth_target_in_image,truth_image_x_px,truth_image_y_px,truth_image_pointing_error_px,truth_detector_centroid_error_px,truth_detection_on_other_emitter,truth_other_emitters_in_image
0,0,scan,1,0,1,0,3.4634164285549170e-2,9.9906243131391825e-1,2.5975623214161876e-2,4.3306240394709643e-2,1.5014076728190780e+3,1,1,4.2554601646699939e+2,1.6084048764975046e+2,1.3193252058374924e+2,9.5295575615217919e-3,0,0
1,1.6666666666666666e-2,track,1,0,1,0,3.4634164285549170e-2,9.9906243131391825e-1,2.5975623214161876e-2,4.3306240394709643e-2,1.5014076728190780e+3,1,1,4.2554601646699939e+2,1.6084048764975046e+2,1.3193252058374924e+2,9.5295575615217919e-3,0,0
2,3.3333333333333333e-2,track,1,0,1,0,3.4634164285549170e-2,9.9906243131391825e-1,2.5975623214161876e-2,4.3306240394709643e-2,1.5014076728190780e+3,1,1,4.2554601646699939e+2,1.6084048764975046e+2,1.3193252058374924e+2,9.5295575615217919e-3,0,0
3,5.0000000000000003e-2,track,1,-1.0402155604901241e-3,9.9999917143162498e-1,-7.5834533770814162e-4,3.4634164285549170e-2,9.9906243131391825e-1,2.5975623214161876e-2,4.4593423814507288e-2,1.5014076728190780e+3,1,1,4.2871915125809653e+2,1.5852712737904801e+2,1.3585905499226300e+2,5.9427373500869768e-3,0,0
4,6.6666666666666666e-2,track,1,-2.8181148830019077e-3,9.9999384133305635e-1,-2.0917754334832330e-3,3.4634164285549170e-2,9.9906243131391825e-1,2.5975623214161876e-2,4.6815808015535691e-2,1.5014076728190780e+3,1,1,4.3414370123643141e+2,1.5445915993110074e+2,1.4263947508191663e+2,9.2255571137534985e-3,0,0
5,8.3333333333333329e-2,track,1,-3.7407989569836863e-3,9.9998912839125453e-1,-2.7837964118119910e-3,3.4634164285549170e-2,9.9906243131391825e-1,2.5975623214161876e-2,4.7969177474419304e-2,1.5014076728190780e+3,1,1,4.3695945033316895e+2,1.5234775171538757e+2,1.4615891916535355e+2,4.0452154071848479e-3,0,0
6,1.0000000000000001e-1,track,1,-3.8396990508151999e-3,9.9998854428626349e-1,-2.8579726098787771e-3,3.4634164285549170e-2,9.9906243131391825e-1,2.5975623214161876e-2,4.8092804639814087e-2,1.5014076728190780e+3,1,1,4.3726128621859328e+2,1.5212142534040603e+2,1.4653618368799116e+2,5.4399502739485425e-3,0,0
7,1.1666666666666667e-1,track,1,-3.5499796392685855e-3,9.9999009600424782e-1,-2.6843133155119592e-3,3.4634164285549170e-2,9.9906243131391825e-1,2.5975623214161876e-2,4.7756829979084946e-2,1.5014076728190780e+3,1,1,4.3637724327255034e+2,1.5265146787711802e+2,1.4551092335539801e+2,5.9575375903328214e-3,0,0
8,1.3333333333333333e-1,track,1,-1.5638134434209938e-3,9.9999806361443300e-1,-1.1946777384088769e-3,3.4634164285549170e-2,9.9906243131391825e-1,2.5975623214161876e-2,4.5274102425037752e-2,1.5014076728190780e+3,1,1,4.3031669268690740e+2,1.5719621262424562e+2,1.3793563676275505e+2,7.2182829522455137e-3,0,0
9,1.4999999999999999e-1,track,1,1.3822994284656874e-3,9.9999852960329416e-1,1.0149086362052457e-3,3.4634164285549170e-2,9.9906243131391825e-1,2.5975623214161876e-2,4.1591458489247071e-2,1.5014076728190780e+3,1,1,4.2132998871682491e+2,1.6393620120459806e+2,1.2670228135491189e+2,6.1155872042164047e-3,0,0
