frame_id,frame_capture_time_s,command_issue_time_s,tick,pat_state,candidate_count,components_found,centroid_x_px,centroid_y_px,candidate_score,filtered_azimuth_rad,filtered_elevation_rad,filtered_azimuth_rate_rad_s,filtered_elevation_rate_rad_s,pid_pan_correction_rad,pid_tilt_correction_rad,command_id,commanded_pan_rad,commanded_tilt_rad,measured_pan_rad,measured_tilt_rad,measured_pan_rate_rad_s,measured_tilt_rate_rad_s,pan_saturation,tilt_saturation,consecutive_misses,search_waypoint_index,host_world_step_ms,host_sensor_frame_ms,host_algorithm_ms,host_detector_ms,host_bearing_transform_ms,host_estimator_ms,host_controller_ms,host_orchestration_ms
0,0,0,0,scan,1,1,4.2554634540004611e+2,1.6085001152870649e+2,3.1518895348837211e-1,,,,,,,0,-5.2359877559829882e-1,-8.7266462599716474e-2,0,0,0,0,none,none,0,0,2.8124999999931788e-2,1.2921250000000555e+0,1.9529590000000780e+0,1.4366670000000568e+0,8.2208999999920707e-2,,5.3249999999934516e-2,3.9345799999978226e-1
1,1.6666666666666666e-2,2.0000000000000000e-2,4,track,1,1,4.2554634540004611e+2,1.6085001152870649e+2,3.1518895348837211e-1,3.4652897370424540e-2,2.5975420968078096e-2,0,0,0,0,1,-5.2359877559829882e-1,-8.7266462599716474e-2,0,0,0,0,none,none,0,0,1.1415999999940141e-2,2.2858299999995779e-1,2.2621659999999792e+0,1.9836659999999711e+0,6.4170000000558503e-3,5.0959000000034393e-2,,9.1376000000082058e-2
2,3.3333333333333333e-2,3.5000000000000003e-2,7,track,1,1,4.2554634540004611e+2,1.6085001152870649e+2,3.1518895348837211e-1,3.4652897370424540e-2,2.5975420968078096e-2,0,0,1.9261235455060977e-2,1.4438004821423409e-2,2,1.9261235455060977e-2,1.4438004821423409e-2,0,0,0,0,none,none,0,,1.2749999999982720e-2,2.0829199999991488e-1,2.7305830000000242e+0,1.9867079999999078e+0,8.1250000000636646e-3,5.4091700000003584e-1,8.5459000000014385e-2,1.0520800000006147e-1
3,5.0000000000000003e-2,5.0000000000000003e-2,10,track,1,1,4.2872509225092250e+2,1.5852698339483396e+2,3.1026833631484796e-1,3.4647814043177405e-2,2.6038742827617322e-2,-3.0488930764745306e-4,3.7979372519192588e-3,2.0258229360954096e-2,1.5170311725166788e-2,3,1.9211031360954096e-2,1.4472179725166788e-2,-1.0471980000000001e-3,-6.9813199999999996e-4,-1.0471979999999992e-1,-6.9813199999999936e-2,none,none,0,,8.8339999999789143e-3,1.3224999999999909e-1,2.2879999999998972e+0,2.1909590000000208e+0,5.7909999999310457e-3,2.6499999999941792e-2,9.0000000000145519e-3,5.9166000000118402e-2
4,6.6666666666666666e-2,7.0000000000000007e-2,14,track,1,1,4.3413466420493882e+2,1.5445730440803138e+2,3.2505626406601651e-1,3.4669969636015097e-2,2.5997465138577099e-2,6.7580140466280345e-4,3.2579957316804416e-5,2.2043633291405355e-2,1.6465724472114987e-2,4,1.8902039291405354e-2,1.4196795472114988e-2,-3.1415939999999997e-3,-2.2689289999999998e-3,-1.0471979999999992e-1,-6.9813199999999909e-2,none,none,0,,2.7499999999918145e-3,1.1245800000006057e-1,1.4788340000000062e+0,1.3812500000000227e+0,5.3749999999581632e-3,4.3667000000027656e-2,6.4579999999523352e-3,5.0707999999985987e-2
5,8.3333333333333329e-2,8.5000000000000006e-2,17,track,1,1,4.3696345975948196e+2,1.5234828862164662e+2,3.2969881814715973e-1,3.4715182791613231e-2,2.5978151591408573e-2,1.5497913145608383e-3,-4.7859895494269100e-4,2.2724906271012025e-2,1.6938205355935421e-2,5,1.8885180271012027e-2,1.4145677355935422e-2,-3.8397259999999999e-3,-2.7925279999999999e-3,-3.4906600000000003e-2,0,none,none,0,,2.4580000000469227e-3,1.0570800000004965e-1,1.0393330000000560e+0,9.6329200000002402e-1,5.3330000000642030e-3,2.7458000000024185e-2,4.8339999999598149e-3,4.8292999999944186e-2
6,1.0000000000000001e-1,1.0000000000000001e-1,20,track,1,1,4.3726109057301295e+2,1.5211598890942699e+2,3.1952750092284976e-1,3.4688038836879542e-2,2.6015540657042084e-2,4.8661625576713104e-4,4.3188297204181691e-4,2.2814645617128437e-2,1.7052806056383721e-2,6,1.8974919617128438e-2,1.4260278056383722e-2,-3.8397259999999999e-3,-2.7925279999999999e-3,0,0,none,none,0,,2.4999999999408828e-3,8.1374999999979991e-2,1.0242079999999305e+0,9.4291699999996581e-1,5.1249999999072315e-3,2.4000000000000909e-2,1.3874999999984539e-2,4.6833000000106040e-2
7,1.1666666666666667e-1,1.2000000000000000e-1,24,track,1,1,4.3637309644670052e+2,1.5265574526995846e+2,3.1012522361359568e-1,3.4703857338829636e-2,2.6033591841536859e-2,6.1377987503266368e-4,6.1092845191941243e-4,2.2558333660083349e-2,1.6899392615457177e-2,7,1.9242206660083350e-2,1.4455930615457177e-2,-3.3161269999999999e-3,-2.4434620000000000e-3,6.9813200000000103e-2,6.9813200000000103e-2,none,none,0,,2.2500000000036380e-3,6.4040999999974701e-2,1.0568749999999909e+0,1.0005840000000035e+0,5.1670000000285654e-3,1.1374999999929969e-2,3.2079999999723441e-3,5.9167999999999665e-2
8,1.3333333333333333e-1,1.3500000000000001e-1,27,track,1,1,4.3031224018475751e+2,1.5719053117782909e+2,3.1468023255813954e-1,3.4681556103446809e-2,2.6001621722433012e-2,1.5602868753617990e-4,1.7792477300530569e-5,2.1239290914803456e-2,1.5930868273837526e-2,8,1.9843026914803455e-2,1.4883670273837527e-2,-1.3962639999999999e-3,-1.0471980000000001e-3,1.3962639999999990e-1,1.0471979999999986e-1,none,none,0,,2.2500000000036380e-3,6.6042000000038570e-2,1.0434999999999945e+0,9.7054200000002311e-1,1.2374999999906322e-2,1.1457999999947788e-2,1.6669999999976426e-3,5.4040999999983796e-2
9,1.4999999999999999e-1,1.4999999999999999e-1,30,track,1,1,4.2132654949121184e+2,1.6394125809435707e+2,3.2438109527381848e-1,3.4676383568061908e-2,2.6004959653178492e-2,6.0041877838897767e-5,5.5349760661748712e-5,1.9335911354804398e-2,1.4507212165319402e-2,9,2.0732175354804400e-2,1.5554410165319402e-2,1.3962639999999999e-3,1.0471980000000001e-3,2.0943959999999984e-1,1.3962639999999990e-1,none,none,0,,2.3750000000291038e-3,7.3209000000019842e-2,7.3591699999997218e-1,6.4216699999997218e-1,9.2089999999416250e-3,1.2208999999984371e-2,1.3750000000527507e-3,5.4208000000016909e-2
